          .000        .551
         6.000        .525
        12.000        .474
        18.000        .402
        24.000        .310
        30.000        .206
        36.000        .094
        42.000       -.020
        48.000       -.132
        54.000       -.233
        60.000       -.324
        66.000       -.396
        72.000       -.453
        78.000       -.489
        84.000       -.511
        90.000       -.516
        96.000       -.511
       102.000       -.495
       108.000       -.476
       114.000       -.454
       120.000       -.432
       126.000       -.410
       132.000       -.391
       138.000       -.373
       144.000       -.357
       150.000       -.343
       156.000       -.330
       162.000       -.319
       168.000       -.312
       174.000       -.308
       180.000       -.308
       186.000       -.312
       192.000       -.320
       198.000       -.330
       204.000       -.343
       210.000       -.357
       216.000       -.373
       222.000       -.391
       228.000       -.411
       234.000       -.432
       240.000       -.454
       246.000       -.477
       252.000       -.496
       258.000       -.512
       264.000       -.517
       270.000       -.512
       276.000       -.491
       282.000       -.454
       288.000       -.398
       294.000       -.325
       300.000       -.235
       306.000       -.133
       312.000       -.021
       318.000        .092
       324.000        .205
       330.000        .309
       336.000        .401
       342.000        .474
       348.000        .525
       354.000        .551
