          .000        .013
         6.000        .024
        12.000        .046
        18.000        .076
        24.000        .112
        30.000        .151
        36.000        .189
        42.000        .223
        48.000        .249
        54.000        .266
        60.000        .271
        66.000        .265
        72.000        .247
        78.000        .220
        84.000        .187
        90.000        .150
        96.000        .114
       102.000        .080
       108.000        .051
       114.000        .028
       120.000        .010
       126.000       -.002
       132.000       -.009
       138.000       -.013
       144.000       -.013
       150.000       -.012
       156.000       -.009
       162.000       -.006
       168.000       -.004
       174.000       -.002
       180.000       -.002
       186.000       -.004
       192.000       -.007
       198.000       -.010
       204.000       -.012
       210.000       -.014
       216.000       -.013
       222.000       -.009
       228.000       -.002
       234.000        .010
       240.000        .027
       246.000        .051
       252.000        .080
       258.000        .114
       264.000        .150
       270.000        .187
       276.000        .220
       282.000        .247
       288.000        .265
       294.000        .271
       300.000        .266
       306.000        .250
       312.000        .223
       318.000        .189
       324.000        .151
       330.000        .112
       336.000        .076
       342.000        .046
       348.000        .024
       354.000        .013
